time_s,t_up,t_down,t_heater,delta_t,delta_t_corr,heater_duty
3836.72,28.419,29.032,30.964,0.6125,0.2955,255
3837.021,28.601,29.078,31.15,0.477,0.1599,255
3837.322,28.669,29.123,31.127,0.4545,0.1375,255
3837.623,28.487,29.032,30.964,0.5447,0.2276,255
3837.924,28.487,29.078,31.011,0.5902,0.2731,255
3838.225,28.646,29.146,31.057,0.5,0.1829,255
3838.526,28.533,29.1,31.011,0.5677,0.2506,255
3838.828,28.442,29.078,30.987,0.6355,0.3184,255
3839.129,28.578,29.123,31.127,0.5452,0.2281,255
3839.43,28.487,29.078,30.964,0.5902,0.2731,255
3839.731,28.442,29.009,30.964,0.5672,0.2501,255
3840.032,28.578,29.123,31.034,0.5452,0.2281,255
3840.333,28.578,29.078,31.011,0.4996,0.1826,255
3840.634,28.419,29.032,31.034,0.6125,0.2955,255
3840.935,28.465,29.032,31.034,0.5673,0.2502,255
3841.236,28.578,29.123,31.15,0.5452,0.2281,255
3841.537,28.623,28.986,30.987,0.3633,0.0462,255
3841.838,28.487,29.055,30.918,0.5674,0.2504,255
3842.139,28.578,29.055,30.964,0.4769,0.1598,255
3842.44,28.578,29.055,31.15,0.4769,0.1598,255
3842.741,28.442,29.032,31.057,0.5899,0.2729,255
3843.042,28.397,29.032,30.941,0.6352,0.3181,255
3843.343,28.578,29.1,31.057,0.5224,0.2053,255
3843.644,28.465,29.032,30.964,0.5673,0.2502,255
3843.945,28.442,29.078,31.011,0.6355,0.3184,255
3844.246,28.623,28.964,30.964,0.3405,0.0235,255
3844.547,28.487,29.032,31.011,0.5447,0.2276,255
3844.849,28.487,29.123,31.011,0.6357,0.3187,255
3845.15,28.487,29.123,30.964,0.6357,0.3187,255
3845.451,28.487,29.055,31.15,0.5674,0.2504,255
3845.753,28.487,29.032,31.011,0.5447,0.2276,255
3846.055,28.397,29.078,31.011,0.6807,0.3636,255
3846.357,28.578,29.123,31.057,0.5452,0.2281,255
3846.658,28.442,29.032,30.941,0.5899,0.2729,255
3846.959,28.397,28.964,30.918,0.5669,0.2499,255
3847.26,28.555,29.123,31.15,0.5678,0.2507,255
3847.561,28.623,28.986,30.987,0.3633,0.0462,255
3847.862,28.465,29.123,31.057,0.6584,0.3413,255
3848.163,28.487,29.169,30.987,0.6813,0.3643,255
3848.464,28.623,29.078,31.034,0.4543,0.1373,255
3848.766,28.578,29.078,31.034,0.4996,0.1826,255
3849.067,28.601,29.055,30.964,0.4542,0.1372,255
3849.368,28.487,29.305,31.15,0.8182,0.5011,255
3849.669,28.578,29.032,31.034,0.4541,0.137,255
3849.97,28.465,29.032,30.918,0.5673,0.2502,255
3850.272,28.487,29.032,31.057,0.5447,0.2276,255
3850.573,28.623,29.032,31.034,0.4088,0.0917,255
3850.874,28.465,28.986,30.918,0.5218,0.2047,255
3851.174,28.419,29.055,30.987,0.6353,0.3183,255
3851.476,28.623,29.009,31.034,0.386,0.069,255
3851.777,28.578,29.078,31.011,0.4996,0.1826,255
3852.078,28.397,28.986,30.964,0.5897,0.2726,255
3852.379,28.487,29.123,31.011,0.6357,0.3187,255
3852.68,28.714,29.055,31.15,0.3409,0.0238,255
3852.981,28.578,29.032,30.987,0.4541,0.137,255
3853.282,28.487,29.169,30.941,0.6813,0.3643,255
3853.584,28.623,29.078,31.057,0.4543,0.1373,255
3853.885,28.487,29.032,31.011,0.5447,0.2276,255
3854.186,28.442,29.123,30.964,0.681,0.3639,255
3854.487,28.533,29.1,30.964,0.5677,0.2506,255
3854.788,28.623,29.055,31.197,0.4315,0.1145,255
3855.09,28.306,28.964,30.918,0.6573,0.3403,255
