time_s,t_up,t_down,t_heater,delta_t,delta_t_corr,heater_duty
3119.268,29.078,29.465,31.571,0.3878,0.0708,255
3119.569,28.986,29.488,31.431,0.5018,0.1847,255
3119.871,28.941,29.488,31.548,0.5473,0.2302,255
3120.172,29.032,29.671,31.618,0.6394,0.3223,255
3120.473,29.032,29.442,31.571,0.4105,0.0935,255
3120.774,28.941,29.534,31.36,0.593,0.276,255
3121.075,28.941,29.488,31.571,0.5473,0.2302,255
3121.376,29.078,29.671,31.524,0.5939,0.2768,255
3121.677,29.032,29.534,31.454,0.502,0.185,255
3121.978,28.896,29.488,31.665,0.5927,0.2756,255
3122.279,28.941,29.534,31.384,0.593,0.276,255
3122.58,28.986,29.671,31.618,0.6849,0.3678,255
3122.881,29.078,29.534,31.618,0.4565,0.1394,255
3123.182,28.941,29.534,31.548,0.593,0.276,255
3123.483,28.986,29.648,31.524,0.662,0.3449,255
3123.784,28.986,29.557,31.641,0.5704,0.2533,255
3124.085,28.986,29.511,31.548,0.5246,0.2076,255
3124.386,28.827,29.534,31.36,0.7066,0.3896,255
3124.687,28.941,29.557,31.524,0.6159,0.2988,255
3124.988,29.009,29.694,31.548,0.6851,0.368,255
3125.289,29.078,29.488,31.431,0.4107,0.0937,255
3125.59,28.941,29.42,31.431,0.4787,0.1616,255
3125.891,29.055,29.58,31.431,0.525,0.208,255
3126.192,29.078,29.671,31.524,0.5939,0.2768,255
3126.493,28.941,29.58,31.618,0.6388,0.3217,255
3126.794,28.827,29.534,31.431,0.7066,0.3896,255
3127.095,28.986,29.58,31.571,0.5933,0.2762,255
3127.396,29.032,29.557,31.571,0.5249,0.2078,255
3127.697,28.941,29.534,31.477,0.593,0.276,255
3127.997,28.85,29.648,31.641,0.7984,0.4813,255
3128.299,28.986,29.557,31.688,0.5704,0.2533,255
3128.6,29.009,29.534,31.571,0.5248,0.2077,255
3128.901,28.986,29.534,31.477,0.5475,0.2305,255
3129.202,28.85,29.534,31.454,0.6839,0.3668,255
3129.503,28.941,29.58,31.431,0.6388,0.3217,255
3129.804,29.009,29.511,31.571,0.5019,0.1848,255
3130.105,28.896,29.488,31.571,0.5927,0.2756,255
3130.406,28.964,29.671,31.571,0.7076,0.3906,255
3130.707,29.032,29.534,31.571,0.502,0.185,255
3131.008,28.941,29.488,31.384,0.5473,0.2302,255
3131.309,28.85,29.58,31.571,0.7297,0.4126,255
3131.61,28.759,29.58,31.431,0.8205,0.5034,255
3131.911,29.032,29.58,31.477,0.5478,0.2307,255
3132.212,28.986,29.534,31.431,0.5475,0.2305,255
3132.513,28.85,29.488,31.384,0.6382,0.3211,255
3132.814,28.986,29.534,31.407,0.5475,0.2305,255
3133.115,28.986,29.465,31.548,0.4789,0.1618,255
3133.416,28.896,29.534,31.431,0.6385,0.3214,255
3133.717,28.782,29.42,31.384,0.6377,0.3206,255
3134.017,29.032,29.58,31.477,0.5478,0.2307,255
3134.319,29.009,29.534,31.524,0.5248,0.2077,255
3134.62,28.827,29.442,31.384,0.6151,0.2981,255
3134.921,28.896,29.58,31.384,0.6842,0.3672,255
3135.222,28.941,29.534,31.477,0.593,0.276,255
3135.523,29.032,29.488,31.29,0.4563,0.1392,255
3135.824,28.941,29.465,31.431,0.5244,0.2073,255
3136.126,28.986,29.58,31.337,0.5933,0.2762,255
3136.427,28.941,29.557,31.524,0.6159,0.2988,255
3136.728,28.941,29.488,31.337,0.5473,0.2302,255
3137.029,28.759,29.488,31.571,0.729,0.4119,255
3137.33,28.941,29.58,31.384,0.6388,0.3217,255
3137.631,29.078,29.58,31.548,0.5023,0.1852,255
3137.932,28.85,29.557,31.571,0.7068,0.3897,255
3138.233,28.805,29.488,31.618,0.6836,0.3665,255
3138.534,28.941,29.671,31.571,0.7304,0.4133,255
3138.835,28.986,29.58,31.548,0.5933,0.2762,255
3139.136,28.941,29.534,31.431,0.593,0.276,255
3139.437,28.805,29.58,31.431,0.7751,0.4581,255
3139.738,28.986,29.671,31.571,0.6849,0.3678,255
3140.039,29.032,29.465,31.571,0.4334,0.1163,255
3140.34,28.805,29.58,31.431,0.7751,0.4581,255
3140.641,28.805,29.488,31.571,0.6836,0.3665,255
3140.942,28.986,29.58,31.431,0.5933,0.2762,255
3141.243,28.941,29.488,31.431,0.5473,0.2302,255
3141.544,28.873,29.557,31.431,0.6841,0.367,255
3141.845,28.941,29.534,31.548,0.593,0.276,255
3142.146,28.964,29.465,31.524,0.5016,0.1846,255
3142.447,28.986,29.488,31.407,0.5018,0.1847,255
3142.748,28.85,29.488,31.314,0.6382,0.3211,255
3143.049,28.896,29.557,31.524,0.6613,0.3443,255
3143.35,28.986,29.488,31.29,0.5018,0.1847,255
3143.651,28.896,29.488,31.384,0.5927,0.2756,255
3143.952,28.941,29.488,31.548,0.5473,0.2302,255
3144.253,28.941,29.671,31.571,0.7304,0.4133,255
3144.554,29.009,29.534,31.431,0.5248,0.2077,255
3144.855,28.986,29.442,31.407,0.456,0.139,255
3145.156,28.85,29.397,31.384,0.5467,0.2297,255
3145.457,29.032,29.671,31.618,0.6394,0.3223,255
3145.758,28.986,29.442,31.431,0.456,0.139,255
3146.059,28.941,29.511,31.384,0.5701,0.2531,255
3146.36,28.805,29.557,31.454,0.7522,0.4352,255
3146.661,28.986,29.488,31.407,0.5018,0.1847,255
3146.962,28.873,29.465,31.337,0.5926,0.2755,255
3147.263,28.737,29.534,31.665,0.7974,0.4804,255
3147.564,28.941,29.488,31.571,0.5473,0.2302,255
3147.866,29.078,29.671,31.407,0.5939,0.2768,255
3148.167,28.896,29.488,31.477,0.5927,0.2756,255
3148.468,28.85,29.534,31.618,0.6839,0.3668,255
3148.769,28.986,29.671,31.618,0.6849,0.3678,255
3149.07,29.055,29.603,31.314,0.5479,0.2308,255
3149.371,28.918,29.465,31.337,0.5471,0.2301,255
3149.672,28.85,29.488,31.337,0.6382,0.3211,255
3149.973,28.941,29.557,31.477,0.6159,0.2988,255
3150.273,29.009,29.58,31.477,0.5706,0.2535,255
3150.576,28.941,29.42,31.337,0.4787,0.1616,255
3150.877,28.759,29.488,31.431,0.729,0.4119,255
3151.178,28.941,29.557,31.524,0.6159,0.2988,255
3151.479,28.986,29.488,31.36,0.5018,0.1847,255
3151.78,28.827,29.465,31.337,0.638,0.3209,255
3152.081,28.827,29.511,31.618,0.6837,0.3667,255
3152.382,28.941,29.626,31.571,0.6846,0.3675,255
3152.683,28.986,29.534,31.407,0.5475,0.2305,255
3152.984,28.805,29.511,31.571,0.7065,0.3894,255
3153.285,28.85,29.488,31.337,0.6382,0.3211,255
3153.586,29.009,29.58,31.431,0.5706,0.2535,255
3153.887,28.986,29.488,31.29,0.5018,0.1847,255
3154.188,28.805,29.58,31.384,0.7751,0.4581,255
3154.489,28.873,29.58,31.337,0.707,0.3899,255
3154.791,28.986,29.534,31.431,0.5475,0.2305,255
3155.092,28.941,29.488,31.384,0.5473,0.2302,255
3155.393,28.805,29.488,31.431,0.6836,0.3665,255
3155.694,28.918,29.511,31.524,0.5929,0.2758,255
3155.995,28.964,29.442,31.337,0.4788,0.1617,255
3156.296,28.805,29.488,31.571,0.6836,0.3665,255
3156.597,28.805,29.58,31.384,0.7751,0.4581,255
3156.898,28.941,29.488,31.571,0.5473,0.2302,255
3157.199,29.032,29.488,31.29,0.4563,0.1392,255
3157.5,28.85,29.534,31.524,0.6839,0.3668,255
3157.802,28.827,29.442,31.314,0.6151,0.2981,255
3158.103,28.941,29.534,31.454,0.593,0.276,255
3158.404,28.986,29.42,31.337,0.4332,0.1161,255
3158.705,28.85,29.488,31.384,0.6382,0.3211,255
3159.006,28.85,29.442,31.36,0.5924,0.2753,255
3159.307,28.873,29.511,31.431,0.6383,0.3212,255
3159.608,28.941,29.465,31.384,0.5244,0.2073,255
3159.909,28.759,29.42,31.337,0.6604,0.3433,255
3160.21,28.805,29.557,31.524,0.7522,0.4352,255
3160.511,28.896,29.488,31.29,0.5927,0.2756,255
3160.812,28.986,29.397,31.267,0.4103,0.0933,255
3161.113,28.805,29.442,31.407,0.6378,0.3208,255
3161.414,28.941,29.534,31.384,0.593,0.276,255
