time_s,t_up,t_down,t_heater,delta_t,delta_t_corr,heater_duty
2807.349,29.763,30.223,32.467,0.4599,0.1429,255
2807.65,29.648,30.177,32.372,0.5284,0.2114,255
2807.951,29.763,30.223,32.467,0.4599,0.1429,255
2808.252,29.809,30.269,32.562,0.4602,0.1431,255
2808.553,29.74,30.177,32.443,0.4368,0.1197,255
2808.854,29.763,30.177,32.467,0.4138,0.0968,255
2809.155,29.717,30.223,32.419,0.5058,0.1887,255
2809.456,29.809,30.223,32.514,0.4141,0.097,255
2809.757,29.809,30.131,32.467,0.3219,0.0048,255
2810.058,29.671,30.085,32.372,0.4134,0.0963,255
2810.359,29.671,30.269,32.538,0.5977,0.2807,255
2810.66,29.809,30.223,32.49,0.4141,0.097,255
2810.961,29.809,30.131,32.514,0.3219,0.0048,255
2811.262,29.786,30.223,32.467,0.437,0.1199,255
2811.563,29.58,30.131,32.443,0.5511,0.234,255
2811.864,29.809,30.246,32.372,0.4371,0.12,255
2812.165,29.786,30.269,32.514,0.4831,0.1661,255
2812.466,29.717,30.177,32.419,0.4597,0.1426,255
2812.767,29.648,30.177,32.419,0.5284,0.2114,255
2813.068,29.671,30.315,32.372,0.6439,0.3268,255
2813.369,29.786,30.223,32.538,0.437,0.1199,255
2813.671,29.809,30.177,32.372,0.368,0.0509,255
2813.973,29.58,30.177,32.372,0.5971,0.2801,255
2814.274,29.671,30.177,32.419,0.5055,0.1885,255
2814.575,29.786,30.223,32.49,0.437,0.1199,255
2814.877,29.786,30.177,32.514,0.3909,0.0738,255
2815.178,29.717,30.2,32.372,0.4827,0.1657,255
2815.479,29.763,30.223,32.372,0.4599,0.1429,255
2815.781,29.717,30.315,32.49,0.5981,0.281,255
2816.082,29.855,30.315,32.419,0.4604,0.1434,255
2816.383,29.671,30.2,32.419,0.5286,0.2115,255
2816.684,29.671,30.223,32.419,0.5516,0.2346,255
2816.985,29.809,30.269,32.514,0.4602,0.1431,255
2817.287,29.763,30.269,32.467,0.506,0.189,255
2817.588,29.763,30.223,32.396,0.4599,0.1429,255
2817.889,29.671,30.131,32.372,0.4594,0.1424,255
2818.19,29.671,30.246,32.467,0.5747,0.2576,255
2818.491,29.763,30.246,32.514,0.483,0.1659,255
2818.793,29.717,30.177,32.325,0.4597,0.1426,255
2819.095,29.671,30.177,32.372,0.5055,0.1885,255
2819.396,29.717,30.2,32.443,0.4827,0.1657,255
2819.697,29.717,30.269,32.49,0.5519,0.2348,255
2819.998,29.809,30.085,32.325,0.2758,-0.0412,255
2820.299,29.671,30.131,32.372,0.4594,0.1424,255
2820.6,29.557,30.223,32.348,0.6661,0.3491,255
2820.901,29.694,30.131,32.467,0.4365,0.1195,255
2821.203,29.763,30.223,32.514,0.4599,0.1429,255
2821.503,29.855,30.269,32.49,0.4143,0.0972,255
2821.805,29.786,30.2,32.396,0.4139,0.0969,255
2822.106,29.717,30.2,32.443,0.4827,0.1657,255
2822.407,29.717,30.2,32.562,0.4827,0.1657,255
2822.708,29.763,30.269,32.443,0.506,0.189,255
2823.01,29.58,30.177,32.467,0.5971,0.2801,255
2823.311,29.671,30.246,32.467,0.5747,0.2576,255
2823.613,29.717,30.292,32.49,0.575,0.2579,255
2823.914,29.763,30.223,32.467,0.4599,0.1429,255
2824.215,29.58,30.223,32.443,0.6432,0.3262,255
2824.516,29.74,30.223,32.372,0.4829,0.1658,255
2824.817,29.671,30.269,32.467,0.5977,0.2807,255
2825.118,29.786,30.223,32.467,0.437,0.1199,255
2825.419,29.763,30.223,32.419,0.4599,0.1429,255
2825.72,29.671,30.177,32.372,0.5055,0.1885,255
2826.021,29.58,30.131,32.419,0.5511,0.234,255
2826.322,29.717,30.315,32.419,0.5981,0.281,255
2826.623,29.809,30.177,32.467,0.368,0.0509,255
2826.924,29.763,30.223,32.372,0.4599,0.1429,255
2827.226,29.671,30.223,32.49,0.5516,0.2346,255
2827.526,29.58,30.131,32.443,0.5511,0.234,255
2827.828,29.809,30.177,32.419,0.368,0.0509,255
2828.129,29.763,30.131,32.467,0.3677,0.0507,255
2828.43,29.671,30.223,32.372,0.5516,0.2346,255
2828.732,29.58,30.2,32.419,0.6202,0.3031,255
2829.033,29.694,30.177,32.396,0.4826,0.1655,255
2829.334,29.763,30.269,32.538,0.506,0.189,255
2829.635,29.717,30.177,32.419,0.4597,0.1426,255
2829.936,29.717,30.269,32.372,0.5519,0.2348,255
2830.237,29.671,30.269,32.419,0.5977,0.2807,255
2830.538,29.763,30.223,32.467,0.4599,0.1429,255
2830.84,29.671,30.131,32.372,0.4594,0.1424,255
2831.141,29.717,30.131,32.372,0.4136,0.0965,255
2831.442,29.717,30.246,32.657,0.5288,0.2118,255
2831.743,29.763,30.177,32.443,0.4138,0.0968,255
2832.044,29.717,30.2,32.419,0.4827,0.1657,255
2832.345,29.671,30.131,32.325,0.4594,0.1424,255
2832.646,29.557,30.177,32.372,0.62,0.303,255
2832.947,29.671,30.223,32.372,0.5516,0.2346,255
2833.248,29.717,30.131,32.467,0.4136,0.0965,255
2833.549,29.717,30.154,32.325,0.4366,0.1196,255
2833.85,29.58,30.131,32.467,0.5511,0.234,255
2834.151,29.671,30.223,32.467,0.5516,0.2346,255
2834.453,29.74,30.223,32.514,0.4829,0.1658,255
2834.753,29.694,30.315,32.467,0.621,0.3039,255
2835.056,29.671,30.177,32.372,0.5055,0.1885,255
2835.357,29.58,30.131,32.443,0.5511,0.234,255
2835.659,29.763,30.223,32.467,0.4599,0.1429,255
2835.96,29.763,30.292,32.443,0.5291,0.2121,255
2836.261,29.488,30.154,32.467,0.6656,0.3486,255
2836.563,29.58,30.177,32.325,0.5971,0.2801,255
