time_s,t_up,t_down,t_heater,delta_t,delta_t_corr,heater_duty
420.504,29.534,29.534,31.806,0.0,-0.0572,255
420.805,29.374,29.534,31.782,0.16,0.1029,255
421.106,29.488,29.511,31.806,0.0229,-0.0343,255
421.407,29.397,29.671,31.923,0.2746,0.2174,255
421.709,29.351,29.534,31.806,0.1829,0.1257,255
422.01,29.465,29.671,31.9,0.206,0.1488,255
422.311,29.442,29.671,31.947,0.2289,0.1717,255
422.612,29.534,29.488,31.759,-0.0457,-0.1029,255
422.913,29.442,29.488,31.712,0.0457,-0.0114,255
423.214,29.397,29.58,31.712,0.183,0.1258,255
423.515,29.534,29.534,31.759,0.0,-0.0572,255
423.816,29.374,29.488,31.994,0.1143,0.0571,255
424.117,29.42,29.671,31.947,0.2517,0.1946,255
424.418,29.488,29.488,31.712,0.0,-0.0572,255
424.719,29.488,29.534,31.806,0.0457,-0.0114,255
425.02,29.442,29.488,31.571,0.0457,-0.0114,255
425.322,29.511,29.488,31.806,-0.0229,-0.08,255
425.624,29.42,29.58,31.735,0.1601,0.1029,255
425.925,29.397,29.671,31.853,0.2746,0.2174,255
426.226,29.465,29.671,31.9,0.206,0.1488,255
426.527,29.488,29.58,31.829,0.0915,0.0343,255
426.828,29.534,29.534,31.806,0.0,-0.0572,255
427.129,29.671,29.671,31.759,0.0,-0.0572,255
427.43,29.442,29.465,31.759,0.0229,-0.0343,255
427.731,29.534,29.488,31.712,-0.0457,-0.1029,255
428.032,29.397,29.671,31.947,0.2746,0.2174,255
428.333,29.397,29.671,31.994,0.2746,0.2174,255
428.634,29.511,29.58,31.947,0.0687,0.0115,255
428.935,29.488,29.648,31.994,0.1602,0.103,255
429.236,29.534,29.557,31.947,0.0229,-0.0343,255
429.537,29.58,29.717,31.994,0.1375,0.0803,255
429.838,29.442,29.534,31.806,0.0915,0.0343,255
430.139,29.442,29.694,31.759,0.2518,0.1946,255
430.44,29.397,29.58,31.9,0.183,0.1258,255
430.741,29.442,29.671,31.9,0.2289,0.1717,255
431.042,29.58,29.671,31.97,0.0916,0.0344,255
431.343,29.534,29.58,31.9,0.0458,-0.0114,255
431.645,29.442,29.603,31.853,0.1602,0.103,255
431.946,29.397,29.58,31.9,0.183,0.1258,255
432.247,29.488,29.671,31.947,0.1831,0.126,255
432.548,29.442,29.671,31.853,0.2289,0.1717,255
432.849,29.534,29.717,31.947,0.1832,0.126,255
433.15,29.488,29.534,31.806,0.0457,-0.0114,255
433.451,29.465,29.488,31.806,0.0229,-0.0343,255
433.752,29.58,29.671,31.947,0.0916,0.0344,255
434.053,29.305,29.603,31.759,0.2972,0.24,255
434.354,29.397,29.671,31.947,0.2746,0.2174,255
434.655,29.442,29.626,31.923,0.183,0.1259,255
434.956,29.488,29.717,31.994,0.229,0.1718,255
435.257,29.511,29.534,31.9,0.0229,-0.0343,255
435.558,29.534,29.557,31.947,0.0229,-0.0343,255
435.859,29.397,29.671,31.9,0.2746,0.2174,255
436.16,29.465,29.534,31.853,0.0686,0.0115,255
436.461,29.534,29.671,31.947,0.1374,0.0802,255
436.762,29.442,29.671,31.947,0.2289,0.1717,255
437.063,29.557,29.671,31.994,0.1145,0.0573,255
437.365,29.671,29.717,31.947,0.0458,-0.0113,255
437.666,29.442,29.671,31.9,0.2289,0.1717,255
437.967,29.442,29.534,31.806,0.0915,0.0343,255
438.268,29.465,29.763,31.947,0.2977,0.2405,255
438.569,29.374,29.534,31.735,0.16,0.1029,255
438.871,29.58,29.58,31.759,0.0,-0.0572,255
439.173,29.534,29.671,31.923,0.1374,0.0802,255
439.475,29.557,29.534,31.759,-0.0229,-0.0801,255
439.776,29.534,29.671,31.782,0.1374,0.0802,255
440.077,29.397,29.671,31.947,0.2746,0.2174,255
440.378,29.374,29.534,31.829,0.16,0.1029,255
440.679,29.534,29.671,31.994,0.1374,0.0802,255
440.98,29.511,29.58,31.947,0.0687,0.0115,255
441.281,29.511,29.671,31.759,0.1603,0.1031,255
441.582,29.488,29.58,31.806,0.0915,0.0343,255
441.883,29.397,29.671,31.806,0.2746,0.2174,255
442.184,29.397,29.671,31.853,0.2746,0.2174,255
442.485,29.488,29.717,31.759,0.229,0.1718,255
442.786,29.488,29.671,31.759,0.1831,0.126,255
443.087,29.488,29.671,31.9,0.1831,0.126,255
443.389,29.534,29.717,31.806,0.1832,0.126,255
443.69,29.397,29.74,31.9,0.3433,0.2861,255
443.991,29.374,29.648,31.947,0.2745,0.2173,255
444.293,29.397,29.671,31.853,0.2746,0.2174,255
444.594,29.442,29.694,31.759,0.2518,0.1946,255
444.895,29.488,29.58,31.947,0.0915,0.0343,255
445.197,29.58,29.671,31.806,0.0916,0.0344,255
445.499,29.374,29.511,31.759,0.1371,0.08,255
445.8,29.351,29.58,31.9,0.2286,0.1715,255
446.101,29.305,29.809,31.97,0.5035,0.4463,255
446.402,29.397,29.717,31.806,0.3204,0.2632,255
446.703,29.488,29.58,31.947,0.0915,0.0343,255
447.005,29.488,29.557,31.759,0.0686,0.0115,255
447.306,29.374,29.648,31.806,0.2745,0.2173,255
447.607,29.351,29.534,31.712,0.1829,0.1257,255
447.908,29.442,29.809,31.806,0.3665,0.3093,255
448.209,29.305,29.809,31.994,0.5035,0.4463,255
448.51,29.488,29.534,31.759,0.0457,-0.0114,255
448.811,29.488,29.58,31.947,0.0915,0.0343,255
449.113,29.397,29.671,31.9,0.2746,0.2174,255
449.414,29.442,29.58,31.9,0.1373,0.0801,255
449.715,29.351,29.603,31.759,0.2515,0.1943,255
450.016,29.397,29.671,31.853,0.2746,0.2174,255
450.317,29.488,29.511,31.665,0.0229,-0.0343,255
450.618,29.488,29.58,31.853,0.0915,0.0343,255
450.919,29.397,29.648,31.712,0.2516,0.1945,255
451.22,29.351,29.58,31.829,0.2286,0.1715,255
451.521,29.305,29.74,31.9,0.4347,0.3775,255
451.823,29.397,29.717,31.782,0.3204,0.2632,255
452.124,29.442,29.58,31.9,0.1373,0.0801,255
452.426,29.488,29.557,31.665,0.0686,0.0115,255
452.727,29.351,29.511,31.641,0.16,0.1028,255
453.028,29.328,29.717,31.853,0.3889,0.3317,255
453.329,29.442,29.809,31.806,0.3665,0.3093,255
453.63,29.146,29.717,31.782,0.5714,0.5142,255
453.931,29.488,29.534,31.688,0.0457,-0.0114,255
454.232,29.465,29.74,31.9,0.2748,0.2176,255
454.533,29.351,29.58,31.9,0.2286,0.1715,255
454.834,29.397,29.671,31.829,0.2746,0.2174,255
455.135,29.351,29.763,31.759,0.412,0.3548,255
455.436,29.351,29.694,31.665,0.3432,0.286,255
455.737,29.488,29.557,31.712,0.0686,0.0115,255
456.038,29.488,29.534,31.688,0.0457,-0.0114,255
456.339,29.351,29.534,31.665,0.1829,0.1257,255
456.64,29.305,29.534,31.712,0.2285,0.1713,255
456.941,29.351,29.717,31.806,0.3661,0.3089,255
457.242,29.351,29.717,31.735,0.3661,0.3089,255
457.543,29.488,29.488,31.665,0.0,-0.0572,255
457.844,29.465,29.648,31.9,0.1831,0.1259,255
458.145,29.328,29.58,31.759,0.2515,0.1943,255
458.446,29.328,29.671,31.712,0.3431,0.2859,255
458.747,29.305,29.671,31.759,0.3659,0.3087,255
459.048,29.305,29.717,31.853,0.4117,0.3546,255
459.349,29.442,29.58,31.9,0.1373,0.0801,255
459.65,29.442,29.534,31.665,0.0915,0.0343,255
459.951,29.397,29.717,31.782,0.3204,0.2632,255
460.252,29.351,29.58,31.806,0.2286,0.1715,255
460.553,29.374,29.763,31.665,0.3891,0.3319,255
460.854,29.397,29.671,31.782,0.2746,0.2174,255
461.155,29.397,29.534,31.759,0.1372,0.08,255
461.456,29.442,29.534,31.712,0.0915,0.0343,255
461.757,29.305,29.717,31.782,0.4117,0.3546,255
462.058,29.169,29.534,31.665,0.3654,0.3082,255
462.359,29.374,29.763,31.759,0.3891,0.3319,255
462.66,29.374,29.694,31.665,0.3203,0.2632,255
462.961,29.169,29.717,31.853,0.5486,0.4914,255
463.263,29.397,29.671,31.759,0.2746,0.2174,255
463.564,29.169,29.58,31.806,0.4111,0.354,255
463.865,29.351,29.648,31.735,0.2973,0.2402,255
464.166,29.465,29.763,31.829,0.2977,0.2405,255
464.467,29.442,29.671,31.782,0.2289,0.1717,255
464.768,29.397,29.534,31.665,0.1372,0.08,255
465.07,29.305,29.534,31.618,0.2285,0.1713,255
465.371,29.351,29.58,31.735,0.2286,0.1715,255
465.672,29.305,29.717,31.806,0.4117,0.3546,255
465.973,29.328,29.58,31.829,0.2515,0.1943,255
466.274,29.351,29.694,31.641,0.3432,0.286,255
466.575,29.351,29.671,31.759,0.3203,0.2631,255
466.876,29.169,29.626,31.782,0.4569,0.3997,255
467.177,29.351,29.58,31.712,0.2286,0.1715,255
467.478,29.305,29.671,31.806,0.3659,0.3087,255
467.779,29.374,29.671,31.806,0.2974,0.2402,255
468.081,29.351,29.74,31.759,0.389,0.3318,255
468.382,29.305,29.648,31.782,0.343,0.2858,255
468.683,29.351,29.58,31.735,0.2286,0.1715,255
468.984,29.397,29.694,31.712,0.2975,0.2403,255
469.285,29.351,29.58,31.665,0.2286,0.1715,255
469.586,29.397,29.671,31.688,0.2746,0.2174,255
469.887,29.42,29.671,31.759,0.2517,0.1946,255
470.188,29.305,29.58,31.782,0.2743,0.2171,255
470.489,29.305,29.717,31.782,0.4117,0.3546,255
470.79,29.397,29.671,31.688,0.2746,0.2174,255
471.091,29.305,29.717,31.806,0.4117,0.3546,255
471.392,29.465,29.557,31.712,0.0915,0.0343,255
471.693,29.397,29.58,31.806,0.183,0.1258,255
471.995,29.328,29.557,31.712,0.2286,0.1714,255
472.296,29.146,29.58,31.9,0.4339,0.3767,255
472.597,29.305,29.671,31.806,0.3659,0.3087,255
472.898,29.351,29.648,31.665,0.2973,0.2402,255
473.199,29.397,29.671,31.712,0.2746,0.2174,255
473.5,29.397,29.465,31.665,0.0685,0.0114,255
473.801,29.191,29.534,31.665,0.3426,0.2854,255
474.102,29.305,29.717,31.782,0.4117,0.3546,255
474.403,29.397,29.58,31.806,0.183,0.1258,255
474.704,29.397,29.58,31.665,0.183,0.1258,255
475.005,29.305,29.671,31.641,0.3659,0.3087,255
475.306,29.169,29.717,31.947,0.5486,0.4914,255
475.607,29.283,29.694,31.665,0.4117,0.3545,255
475.908,29.146,29.648,31.665,0.5026,0.4454,255
476.209,29.442,29.671,31.759,0.2289,0.1717,255
476.51,29.374,29.671,31.712,0.2974,0.2402,255
476.811,29.169,29.671,31.712,0.5027,0.4456,255
