time_s,t_up,t_down,t_heater,delta_t,delta_t_corr,heater_duty
286.218,29.078,29.1,31.548,0.0228,-0.0344,255
286.519,28.986,29.009,31.337,0.0227,-0.0344,255
286.821,29.078,29.1,31.431,0.0228,-0.0344,255
287.122,28.986,28.986,31.29,0.0,-0.0572,255
287.424,29.032,29.078,31.337,0.0455,-0.0116,255
287.725,28.964,29.032,31.337,0.0682,0.0111,255
288.026,28.986,29.055,31.548,0.0683,0.0111,255
288.327,28.85,29.123,31.431,0.2729,0.2158,255
288.628,29.032,29.078,31.407,0.0455,-0.0116,255
288.93,28.941,29.055,31.431,0.1138,0.0566,255
289.231,29.032,29.032,31.29,0.0,-0.0572,255
289.532,28.986,29.078,31.314,0.091,0.0339,255
289.833,29.009,29.032,31.384,0.0228,-0.0344,255
290.134,28.941,29.078,31.314,0.1365,0.0794,255
290.436,29.032,29.032,31.314,0.0,-0.0572,255
290.737,28.941,29.032,31.337,0.091,0.0338,255
291.038,28.941,29.032,31.337,0.091,0.0338,255
291.339,28.941,29.078,31.29,0.1365,0.0794,255
291.64,28.827,29.1,31.29,0.2729,0.2157,255
291.941,28.941,29.078,31.29,0.1365,0.0794,255
292.242,28.85,29.032,31.337,0.1819,0.1247,255
292.543,28.941,29.1,31.29,0.1593,0.1021,255
292.844,28.986,29.123,31.337,0.1366,0.0794,255
293.145,29.078,29.078,31.431,0.0,-0.0572,255
293.446,28.964,29.169,31.384,0.2049,0.1477,255
293.747,29.032,29.169,31.431,0.1367,0.0795,255
294.048,29.397,29.078,31.384,-0.3193,-0.3765,255
294.349,29.078,29.078,31.407,0.0,-0.0572,255
294.65,28.85,29.078,31.407,0.2274,0.1702,255
294.951,28.986,29.078,31.384,0.091,0.0339,255
295.252,29.055,29.305,31.431,0.2507,0.1936,255
295.553,29.032,29.078,31.337,0.0455,-0.0116,255
295.855,29.078,29.123,31.431,0.0455,-0.0116,255
296.156,28.941,29.055,31.337,0.1138,0.0566,255
296.458,29.123,29.169,31.431,0.0456,-0.0116,255
296.759,28.85,29.169,31.36,0.3185,0.2614,255
297.06,29.032,29.032,31.337,0.0,-0.0572,255
297.361,28.85,29.123,31.431,0.2729,0.2158,255
297.662,28.964,29.009,31.29,0.0455,-0.0117,255
297.963,28.896,29.169,31.337,0.2731,0.2159,255
298.264,28.986,29.123,31.36,0.1366,0.0794,255
298.565,28.941,29.078,31.384,0.1365,0.0794,255
298.866,28.85,29.032,31.384,0.1819,0.1247,255
299.167,29.055,29.123,31.314,0.0683,0.0111,255
299.468,28.896,29.123,31.384,0.2275,0.1703,255
299.769,29.078,29.191,31.407,0.1139,0.0567,255
300.07,29.009,29.305,31.454,0.2963,0.2391,255
300.371,29.078,29.123,31.571,0.0455,-0.0116,255
300.672,29.078,29.123,31.571,0.0455,-0.0116,255
300.973,29.009,29.1,31.594,0.0911,0.0339,255
301.274,29.078,29.078,31.36,0.0,-0.0572,255
301.576,29.032,29.123,31.36,0.0911,0.0339,255
301.877,29.032,28.896,31.36,-0.1364,-0.1936,255
302.179,29.009,29.032,31.314,0.0228,-0.0344,255
302.48,28.986,29.032,31.29,0.0455,-0.0117,255
302.781,28.941,29.078,31.337,0.1365,0.0794,255
303.082,28.986,29.078,31.314,0.091,0.0339,255
303.383,28.941,29.078,31.36,0.1365,0.0794,255
303.684,28.941,29.078,31.314,0.1365,0.0794,255
303.985,29.078,29.305,31.431,0.228,0.1708,255
304.286,29.055,29.078,31.29,0.0228,-0.0344,255
304.587,29.123,29.328,31.594,0.2053,0.1481,255
304.888,29.374,29.078,31.431,-0.2964,-0.3536,255
305.19,29.123,29.328,31.548,0.2053,0.1481,255
305.491,28.986,29.191,31.384,0.2049,0.1477,255
305.792,29.169,29.123,31.431,-0.0456,-0.1028,255
306.093,29.123,29.305,31.524,0.1824,0.1253,255
306.394,28.986,29.123,31.431,0.1366,0.0794,255
306.695,29.1,29.305,31.524,0.2052,0.148,255
306.996,29.055,29.169,31.477,0.1139,0.0567,255
307.297,29.032,29.123,31.454,0.0911,0.0339,255
307.598,28.941,29.055,31.244,0.1138,0.0566,255
307.899,29.032,29.078,31.384,0.0455,-0.0116,255
308.2,29.032,29.169,31.407,0.1367,0.0795,255
308.501,28.896,29.123,31.314,0.2275,0.1703,255
308.802,29.032,29.169,31.337,0.1367,0.0795,255
309.103,29.032,29.123,31.431,0.0911,0.0339,255
309.404,29.1,29.169,31.431,0.0684,0.0112,255
309.705,29.078,29.305,31.548,0.228,0.1708,255
310.006,29.055,29.169,31.384,0.1139,0.0567,255
310.307,29.032,29.169,31.618,0.1367,0.0795,255
310.608,29.123,29.169,31.384,0.0456,-0.0116,255
310.909,29.078,29.123,31.29,0.0455,-0.0116,255
311.21,29.032,29.146,31.337,0.1139,0.0567,255
311.511,29.078,29.078,31.384,0.0,-0.0572,255
311.812,29.032,29.169,31.407,0.1367,0.0795,255
312.113,29.032,29.123,31.29,0.0911,0.0339,255
312.414,28.986,29.283,31.384,0.2962,0.239,255
312.715,28.85,29.078,31.384,0.2274,0.1702,255
313.016,29.032,29.328,31.571,0.2963,0.2391,255
313.317,29.055,29.305,31.431,0.2507,0.1936,255
313.618,29.078,29.351,31.431,0.2736,0.2164,255
313.919,29.078,29.351,31.384,0.2736,0.2164,255
314.22,29.055,29.169,31.337,0.1139,0.0567,255
314.521,29.146,29.351,31.337,0.2053,0.1481,255
314.822,28.986,29.032,31.337,0.0455,-0.0117,255
315.123,29.032,29.078,31.337,0.0455,-0.0116,255
315.424,28.941,29.032,31.29,0.091,0.0338,255
315.725,28.986,29.351,31.36,0.3647,0.3075,255
316.026,28.986,29.374,31.384,0.3875,0.3303,255
