time_s,t_up,t_down,t_heater,delta_t,delta_t_corr,heater_duty
3339.641,28.669,29.305,31.22,0.637,0.3199,255
3339.942,28.646,29.078,31.197,0.4316,0.1146,255
3340.243,28.578,29.055,31.244,0.4769,0.1598,255
3340.544,28.623,29.123,31.22,0.4998,0.1828,255
3340.845,28.623,29.078,31.197,0.4543,0.1373,255
3341.146,28.623,29.078,31.057,0.4543,0.1373,255
3341.447,28.623,29.305,31.244,0.6823,0.3652,255
3341.748,28.646,29.305,31.267,0.6596,0.3425,255
3342.049,28.669,29.123,31.197,0.4545,0.1375,255
3342.35,28.669,29.169,31.244,0.5001,0.1831,255
3342.651,28.487,29.123,31.15,0.6357,0.3187,255
3342.951,28.669,29.169,31.034,0.5001,0.1831,255
3343.253,28.737,29.169,31.174,0.4321,0.115,255
3343.554,28.669,29.123,31.244,0.4545,0.1375,255
3343.856,28.487,29.169,31.15,0.6813,0.3643,255
3344.157,28.623,29.146,31.197,0.5226,0.2056,255
3344.458,28.691,29.1,31.267,0.4091,0.092,255
3344.759,28.623,29.169,31.197,0.5454,0.2284,255
3345.06,28.623,29.169,31.15,0.5454,0.2284,255
3345.361,28.646,29.146,31.15,0.5,0.1829,255
3345.663,28.669,29.169,31.244,0.5001,0.1831,255
3345.964,28.601,29.283,31.197,0.6821,0.3651,255
3346.265,28.578,29.078,31.08,0.4996,0.1826,255
3346.566,28.669,29.169,31.127,0.5001,0.1831,255
3346.867,28.714,29.305,31.244,0.5916,0.2745,255
3347.168,28.759,29.078,31.127,0.3182,0.0012,255
3347.469,28.578,29.123,31.127,0.5452,0.2281,255
3347.77,28.646,29.351,31.197,0.7053,0.3882,255
3348.071,28.578,29.169,31.174,0.5908,0.2737,255
3348.372,28.669,29.123,31.197,0.4545,0.1375,255
3348.673,28.487,29.123,31.057,0.6357,0.3187,255
3348.974,28.578,29.123,31.057,0.5452,0.2281,255
3349.275,28.669,29.123,31.197,0.4545,0.1375,255
3349.576,28.623,29.123,31.127,0.4998,0.1828,255
3349.877,28.578,29.1,31.15,0.5224,0.2053,255
3350.178,28.578,29.169,31.011,0.5908,0.2737,255
3350.479,28.669,29.169,31.15,0.5001,0.1831,255
3350.78,28.714,29.123,31.174,0.4091,0.0921,255
3351.081,28.465,29.1,31.034,0.6356,0.3185,255
3351.382,28.623,29.123,31.244,0.4998,0.1828,255
3351.683,28.623,29.078,31.057,0.4543,0.1373,255
3351.984,28.669,29.123,31.244,0.4545,0.1375,255
3352.285,28.601,29.078,31.15,0.477,0.1599,255
3352.586,28.578,29.123,31.197,0.5452,0.2281,255
3352.887,28.714,29.305,31.244,0.5916,0.2745,255
3353.188,28.669,29.169,31.244,0.5001,0.1831,255
3353.489,28.487,29.123,31.034,0.6357,0.3187,255
3353.791,28.578,29.078,31.15,0.4996,0.1826,255
3354.092,28.669,29.328,31.22,0.6598,0.3427,255
3354.394,28.669,29.169,31.197,0.5001,0.1831,255
3354.695,28.646,29.078,31.011,0.4316,0.1146,255
3354.996,28.487,29.078,31.057,0.5902,0.2731,255
3355.297,28.669,29.123,31.29,0.4545,0.1375,255
3355.598,28.691,29.078,31.15,0.3863,0.0692,255
3355.899,28.623,29.146,31.15,0.5226,0.2056,255
3356.201,28.533,29.169,31.011,0.636,0.319,255
3356.503,28.578,29.305,31.244,0.7276,0.4105,255
3356.804,28.759,29.191,31.267,0.4321,0.1151,255
3357.105,28.669,29.078,31.15,0.409,0.0919,255
3357.406,28.601,29.1,31.244,0.4998,0.1827,255
3357.708,28.623,29.169,31.197,0.5454,0.2284,255
3358.009,28.669,29.283,31.22,0.6141,0.2971,255
3358.311,28.623,29.078,31.057,0.4543,0.1373,255
3358.612,28.578,29.078,31.034,0.4996,0.1826,255
3358.914,28.669,29.123,31.15,0.4545,0.1375,255
3359.215,28.714,29.169,31.011,0.4547,0.1377,255
3359.516,28.623,29.078,31.034,0.4543,0.1373,255
3359.817,28.578,29.123,31.034,0.5452,0.2281,255
3360.118,28.578,29.123,31.15,0.5452,0.2281,255
3360.419,28.669,29.169,31.15,0.5001,0.1831,255
3360.721,28.623,29.123,31.057,0.4998,0.1828,255
3361.022,28.669,29.1,31.197,0.4318,0.1147,255
3361.323,28.51,29.305,31.244,0.7955,0.4785,255
3361.623,28.714,29.169,31.15,0.4547,0.1377,255
3361.925,28.623,29.078,31.15,0.4543,0.1373,255
3362.226,28.465,29.123,31.011,0.6584,0.3413,255
3362.527,28.623,29.351,31.197,0.7279,0.4109,255
3362.828,28.714,29.146,31.22,0.4319,0.1149,255
