timestamp,millis,T_ref_C,T_heater_C,T_target_C,error_C,pwm_percent,p_term,i_term,d_term,auto_mode
2026-05-14T14:39:36.521922,1111237.0,26.7962,32.774,32.7866,0.0175,49.283,0.3492,48.9339,0.0,1
2026-05-14T14:39:37.021459,1111739.0,26.7785,32.7846,32.7879,-0.0129,48.676,-0.2581,48.9344,0.0,1
2026-05-14T14:39:37.521897,1112241.0,26.7709,32.7747,32.7731,0.0033,49.003,0.065,48.9379,0.0,1
2026-05-14T14:39:38.021904,1112743.0,26.7672,32.7701,32.7683,0.0032,48.996,0.0638,48.9323,0.0,1
2026-05-14T14:39:38.571414,1113245.0,26.7689,32.7686,32.7729,0.0113,49.165,0.2267,48.938,0.0,1
2026-05-14T14:39:39.071572,1113747.0,26.7611,32.7545,32.7645,0.0116,49.173,0.2312,48.9416,0.0,1
2026-05-14T14:39:39.571111,1114249.0,26.7523,32.7533,32.7699,0.0182,49.311,0.3642,48.9472,0.0,1
2026-05-14T14:39:40.071104,1114752.0,26.7626,32.751,32.7621,0.0046,49.041,0.0912,48.9497,0.0,1
2026-05-14T14:39:40.571247,1115254.0,26.7745,32.763,32.757,-0.008,48.795,-0.1591,48.9543,0.0,1
2026-05-14T14:39:41.071624,1115756.0,26.7661,32.7542,32.7456,-0.006,48.832,-0.1193,48.9516,0.0,1
2026-05-14T14:39:41.571316,1116258.0,26.7396,32.7509,32.7487,0.0114,49.189,0.2282,48.9611,0.0,1
2026-05-14T14:39:42.071131,1116760.0,26.7503,32.7456,32.7508,0.0031,49.023,0.062,48.9612,0.0,1
2026-05-14T14:39:42.571239,1117262.0,26.7402,32.7375,32.7479,0.0041,49.046,0.0828,48.9636,0.0,1
2026-05-14T14:39:43.071180,1117764.0,26.7437,32.7388,32.7405,-0.0066,48.827,-0.1328,48.9596,0.0,1
2026-05-14T14:39:43.571123,1118266.0,26.7316,32.7374,32.731,-0.008,48.796,-0.1608,48.9566,0.0,1
2026-05-14T14:39:44.071232,1118768.0,26.7624,32.738,32.744,-0.006,48.836,-0.12,48.9564,0.0,1
2026-05-14T14:39:44.571956,1119270.0,26.7511,32.7383,32.7534,0.0123,49.206,0.2465,48.9596,0.0,1
2026-05-14T14:39:45.071184,1119772.0,26.7375,32.7355,32.741,0.0107,49.178,0.2145,48.964,0.0,1
2026-05-14T14:39:45.571932,1120274.0,26.7391,32.7331,32.7402,0.0116,49.201,0.2316,48.9695,0.0,1
2026-05-14T14:39:46.071626,1120776.0,26.7405,32.7257,32.7337,0.0037,49.045,0.0738,48.9717,0.0,1
2026-05-14T14:39:46.571321,1121278.0,26.7263,32.7255,32.7263,0.0008,48.995,0.0163,48.9782,0.0,1
2026-05-14T14:39:47.071131,1121780.0,26.7251,32.7283,32.7421,0.0261,49.508,0.5228,48.9856,0.0,1
2026-05-14T14:39:47.571552,1122282.0,26.7308,32.7203,32.7227,0.0072,49.132,0.1434,48.9886,0.0,1
2026-05-14T14:39:48.071908,1122784.0,26.7169,32.7221,32.7349,0.0109,49.21,0.2171,48.9925,0.0,1
2026-05-14T14:39:48.571820,1123286.0,26.7181,32.7159,32.7234,0.0043,49.078,0.0856,48.9927,0.0,1
2026-05-14T14:39:49.071789,1123788.0,26.7264,32.7139,32.7258,0.0087,49.163,0.1733,48.99,0.0,1
2026-05-14T14:39:49.570970,1124290.0,26.7124,32.7127,32.7191,0.003,49.053,0.0607,48.9923,0.0,1
2026-05-14T14:39:50.071520,1124792.0,26.7209,32.7042,32.7278,0.0259,49.518,0.5184,48.9997,0.0,1
2026-05-14T14:39:50.572438,1125294.0,26.7204,32.7106,32.7205,0.0059,49.121,0.1189,49.0025,0.0,1
2026-05-14T14:39:51.121430,1125796.0,26.6961,32.6999,32.6959,-0.0044,48.919,-0.0886,49.0073,0.0,1
2026-05-14T14:39:51.622553,1126298.0,26.7142,32.7192,32.7065,-0.0065,48.875,-0.131,49.0055,0.0,1
2026-05-14T14:39:52.121726,1126801.0,26.7058,32.7277,32.7123,-0.002,48.961,-0.0408,49.0017,0.0,1
