time_s,t_up,t_down,t_heater,delta_t,delta_t_corr,heater_duty
905.232,29.878,30.085,32.467,0.2069,0.1498,255
905.533,29.58,29.947,32.372,0.367,0.3098,255
905.835,29.786,30.108,32.419,0.3218,0.2646,255
906.136,29.809,30.085,32.277,0.2758,0.2186,255
906.437,29.763,29.947,32.443,0.1837,0.1265,255
906.738,29.855,30.131,32.372,0.276,0.2188,255
907.039,29.855,30.177,32.514,0.3221,0.2649,255
907.34,29.717,30.223,32.609,0.5058,0.4486,255
907.641,29.832,30.085,32.396,0.2529,0.1957,255
907.942,29.717,30.039,32.419,0.3215,0.2644,255
908.243,29.717,30.085,32.443,0.3676,0.3104,255
908.544,29.901,30.177,32.467,0.2761,0.2189,255
908.845,29.901,30.085,32.372,0.184,0.1268,255
909.146,29.832,30.131,32.633,0.2989,0.2417,255
909.447,29.901,30.223,32.49,0.3222,0.265,255
909.748,29.763,29.947,32.348,0.1837,0.1265,255
910.049,29.786,30.085,32.467,0.2988,0.2416,255
910.35,30.039,30.085,32.419,0.046,-0.0112,255
910.651,29.855,30.085,32.419,0.2299,0.1727,255
910.952,29.901,30.177,32.562,0.2761,0.2189,255
911.253,30.039,30.131,32.514,0.0921,0.0349,255
911.554,29.763,30.039,32.325,0.2757,0.2185,255
911.855,29.763,30.177,32.325,0.4138,0.3566,255
912.156,29.855,30.085,32.419,0.2299,0.1727,255
912.458,29.717,30.108,32.372,0.3906,0.3334,255
912.759,29.924,30.131,32.372,0.2071,0.1499,255
913.06,29.878,30.085,32.419,0.2069,0.1498,255
913.361,29.809,30.131,32.467,0.3219,0.2647,255
913.662,29.855,30.131,32.467,0.276,0.2188,255
913.963,29.832,30.039,32.372,0.2068,0.1497,255
914.264,29.763,30.039,32.419,0.2757,0.2185,255
914.565,29.878,30.131,32.419,0.253,0.1958,255
914.866,29.878,30.085,32.396,0.2069,0.1498,255
915.167,29.809,30.131,32.514,0.3219,0.2647,255
915.468,29.763,30.2,32.467,0.4369,0.3797,255
915.769,29.786,30.108,32.419,0.3218,0.2646,255
916.07,29.74,30.131,32.419,0.3907,0.3335,255
916.371,29.901,30.223,32.538,0.3222,0.265,255
916.672,29.901,30.131,32.562,0.23,0.1728,255
916.973,29.901,30.2,32.467,0.2991,0.242,255
917.274,29.855,30.223,32.538,0.3682,0.311,255
917.575,29.763,30.085,32.467,0.3217,0.2645,255
917.876,29.809,30.177,32.514,0.368,0.3108,255
918.177,29.878,30.131,32.562,0.253,0.1958,255
918.478,29.763,30.085,32.325,0.3217,0.2645,255
918.779,29.924,30.2,32.325,0.2762,0.219,255
919.08,29.855,30.2,32.514,0.3451,0.2879,255
919.381,30.016,30.2,32.562,0.1842,0.127,255
919.682,29.809,30.131,32.657,0.3219,0.2647,255
919.983,29.832,30.108,32.372,0.2759,0.2187,255
920.284,29.809,30.131,32.467,0.3219,0.2647,255
920.585,29.901,30.131,32.562,0.23,0.1728,255
920.886,29.855,30.2,32.514,0.3451,0.2879,255
921.187,29.855,30.131,32.419,0.276,0.2188,255
921.488,29.901,30.2,32.514,0.2991,0.242,255
921.789,29.832,30.177,32.514,0.345,0.2878,255
922.09,29.763,30.223,32.657,0.4599,0.4028,255
922.391,29.855,30.2,32.49,0.3451,0.2879,255
922.692,29.809,30.2,32.562,0.391,0.3338,255
922.993,29.901,30.223,32.562,0.3222,0.265,255
923.294,30.016,30.062,32.514,0.046,-0.0112,255
923.595,29.74,30.177,32.372,0.4368,0.3796,255
923.897,29.832,30.177,32.538,0.345,0.2878,255
924.198,29.763,30.131,32.467,0.3677,0.3106,255
924.499,29.763,30.154,32.325,0.3908,0.3336,255
924.8,29.901,30.2,32.538,0.2991,0.242,255
925.101,29.878,30.2,32.657,0.3221,0.2649,255
925.402,29.74,30.269,32.419,0.529,0.4718,255
925.703,29.809,30.108,32.467,0.2988,0.2416,255
926.004,29.763,30.131,32.419,0.3677,0.3106,255
926.305,29.809,30.177,32.467,0.368,0.3108,255
926.606,29.855,30.154,32.514,0.299,0.2418,255
926.907,29.763,30.131,32.467,0.3677,0.3106,255
927.209,29.809,30.177,32.419,0.368,0.3108,255
927.51,29.855,30.177,32.467,0.3221,0.2649,255
927.811,29.809,30.269,32.419,0.4602,0.403,255
928.112,29.809,30.223,32.467,0.4141,0.3569,255
928.413,30.016,30.2,32.467,0.1842,0.127,255
928.715,29.855,30.177,32.467,0.3221,0.2649,255
929.016,29.855,30.223,32.514,0.3682,0.311,255
929.317,30.016,30.085,32.372,0.069,0.0119,255
929.618,29.809,30.223,32.467,0.4141,0.3569,255
929.92,29.832,30.269,32.514,0.4372,0.38,255
930.221,29.901,30.131,32.467,0.23,0.1728,255
930.523,29.809,30.246,32.585,0.4371,0.3799,255
930.824,29.901,30.177,32.514,0.2761,0.2189,255
931.125,29.901,30.177,32.562,0.2761,0.2189,255
931.426,29.809,30.315,32.467,0.5063,0.4491,255
931.728,29.809,30.131,32.562,0.3219,0.2647,255
932.029,29.855,30.177,32.514,0.3221,0.2649,255
932.331,29.763,30.131,32.419,0.3677,0.3106,255
932.632,29.878,30.223,32.443,0.3452,0.288,255
932.933,29.832,30.131,32.348,0.2989,0.2417,255
933.234,29.809,30.177,32.538,0.368,0.3108,255
933.535,29.901,30.223,32.514,0.3222,0.265,255
933.836,29.809,30.2,32.419,0.391,0.3338,255
934.137,29.763,30.131,32.372,0.3677,0.3106,255
934.438,29.901,30.223,32.538,0.3222,0.265,255
934.739,29.763,30.039,32.325,0.2757,0.2185,255
935.04,29.832,30.154,32.396,0.322,0.2648,255
935.341,29.855,30.223,32.419,0.3682,0.311,255
935.642,29.809,30.177,32.514,0.368,0.3108,255
935.943,29.763,30.2,32.396,0.4369,0.3797,255
936.244,29.763,30.131,32.443,0.3677,0.3106,255
936.546,29.763,30.131,32.419,0.3677,0.3106,255
936.847,30.039,30.269,32.514,0.2304,0.1732,255
937.148,29.855,30.246,32.443,0.3912,0.334,255
937.449,29.809,30.177,32.419,0.368,0.3108,255
937.75,29.855,30.223,32.514,0.3682,0.311,255
938.051,29.763,30.085,32.277,0.3217,0.2645,255
938.352,29.671,30.154,32.443,0.4825,0.4253,255
938.653,29.901,30.177,32.514,0.2761,0.2189,255
938.954,29.763,30.085,32.348,0.3217,0.2645,255
939.255,29.855,30.177,32.419,0.3221,0.2649,255
939.556,29.878,30.292,32.562,0.4144,0.3572,255
939.857,29.763,30.131,32.372,0.3677,0.3106,255
940.158,29.763,30.177,32.348,0.4138,0.3566,255
940.459,29.809,30.2,32.467,0.391,0.3338,255
940.76,29.74,30.131,32.348,0.3907,0.3335,255
941.061,29.878,30.177,32.467,0.2991,0.2419,255
941.362,29.855,30.2,32.419,0.3451,0.2879,255
941.663,29.809,30.223,32.467,0.4141,0.3569,255
941.964,29.855,30.177,32.372,0.3221,0.2649,255
942.265,29.74,30.085,32.419,0.3446,0.2875,255
942.566,29.832,30.177,32.49,0.345,0.2878,255
942.867,29.855,30.131,32.467,0.276,0.2188,255
943.168,29.763,30.039,32.372,0.2757,0.2185,255
943.469,29.901,30.223,32.514,0.3222,0.265,255
943.77,29.855,30.269,32.443,0.4143,0.3571,255
944.071,29.763,30.2,32.372,0.4369,0.3797,255
944.372,29.809,30.131,32.467,0.3219,0.2647,255
944.673,29.763,30.2,32.419,0.4369,0.3797,255
944.974,29.809,30.223,32.467,0.4141,0.3569,255
945.275,29.809,30.131,32.467,0.3219,0.2647,255
945.576,29.809,30.246,32.467,0.4371,0.3799,255
945.877,29.74,30.223,32.514,0.4829,0.4257,255
946.178,29.855,30.269,32.467,0.4143,0.3571,255
946.479,29.74,30.2,32.443,0.4598,0.4026,255
946.78,29.763,30.154,32.419,0.3908,0.3336,255
947.081,29.809,30.108,32.325,0.2988,0.2416,255
947.382,29.809,30.2,32.467,0.391,0.3338,255
947.683,29.878,30.223,32.467,0.3452,0.288,255
947.984,29.901,30.177,32.419,0.2761,0.2189,255
948.285,29.763,30.154,32.372,0.3908,0.3336,255
948.586,29.855,30.269,32.419,0.4143,0.3571,255
948.887,29.763,30.131,32.419,0.3677,0.3106,255
949.188,29.809,30.223,32.514,0.4141,0.3569,255
949.489,29.855,30.177,32.49,0.3221,0.2649,255
949.79,29.809,30.177,32.372,0.368,0.3108,255
950.091,29.924,30.269,32.467,0.3454,0.2882,255
950.392,29.901,30.177,32.467,0.2761,0.2189,255
950.693,29.717,30.223,32.538,0.5058,0.4486,255
950.994,29.832,30.223,32.443,0.3911,0.3339,255
951.295,29.717,30.131,32.325,0.4136,0.3564,255
951.596,29.694,30.131,32.419,0.4365,0.3793,255
951.897,29.763,30.223,32.372,0.4599,0.4028,255
952.198,29.809,30.131,32.419,0.3219,0.2647,255
952.499,29.855,30.2,32.419,0.3451,0.2879,255
