time_s,t_up,t_down,t_heater,delta_t,delta_t_corr,heater_duty
4107.398,28.601,29.1,31.127,0.4998,0.1827,255
4107.699,28.487,29.032,30.964,0.5447,0.2276,255
4108.001,28.578,29.078,31.15,0.4996,0.1826,255
4108.302,28.669,29.1,31.057,0.4318,0.1147,255
4108.603,28.578,29.078,31.011,0.4996,0.1826,255
4108.904,28.442,29.078,30.941,0.6355,0.3184,255
4109.205,28.578,29.1,30.964,0.5224,0.2053,255
4109.506,28.578,29.032,31.057,0.4541,0.137,255
4109.807,28.442,29.032,31.034,0.5899,0.2729,255
4110.108,28.623,29.123,31.127,0.4998,0.1828,255
4110.409,28.51,29.055,31.011,0.5448,0.2277,255
4110.71,28.442,28.986,30.918,0.5444,0.2274,255
4111.011,28.555,29.123,31.08,0.5678,0.2507,255
4111.311,28.669,29.169,31.057,0.5001,0.1831,255
4111.613,28.578,29.032,30.987,0.4541,0.137,255
4111.914,28.487,29.009,31.057,0.5219,0.2048,255
4112.215,28.623,29.078,31.011,0.4543,0.1373,255
4112.516,28.578,29.078,30.964,0.4996,0.1826,255
4112.817,28.465,29.032,31.011,0.5673,0.2502,255
4113.118,28.578,29.169,30.918,0.5908,0.2737,255
4113.419,28.623,29.032,30.918,0.4088,0.0917,255
4113.72,28.555,29.009,30.894,0.454,0.1369,255
4114.022,28.352,28.941,31.011,0.5894,0.2723,255
4114.322,28.646,29.1,31.057,0.4544,0.1373,255
4114.624,28.578,28.986,31.011,0.4086,0.0915,255
4114.925,28.51,29.032,31.011,0.522,0.205,255
4115.226,28.578,29.123,30.964,0.5452,0.2281,255
4115.527,28.646,29.123,31.011,0.4772,0.1601,255
4115.828,28.487,29.032,30.964,0.5447,0.2276,255
4116.129,28.487,29.009,31.127,0.5219,0.2048,255
4116.43,28.646,29.078,31.011,0.4316,0.1146,255
4116.73,28.578,29.055,31.15,0.4769,0.1598,255
4117.032,28.533,29.123,31.127,0.5905,0.2734,255
4117.333,28.51,29.078,31.15,0.5676,0.2505,255
4117.634,28.578,28.986,31.011,0.4086,0.0915,255
4117.935,28.442,29.032,30.941,0.5899,0.2729,255
4118.236,28.578,29.078,31.15,0.4996,0.1826,255
4118.537,28.669,29.032,31.057,0.3635,0.0464,255
4118.838,28.578,29.032,31.057,0.4541,0.137,255
4119.139,28.487,29.078,31.011,0.5902,0.2731,255
4119.44,28.623,28.964,30.987,0.3405,0.0235,255
4119.741,28.487,29.009,31.034,0.5219,0.2048,255
4120.042,28.465,29.1,31.011,0.6356,0.3185,255
4120.343,28.669,29.397,31.057,0.7283,0.4112,255
4120.644,28.669,29.078,31.011,0.409,0.0919,255
4120.945,28.487,29.032,31.011,0.5447,0.2276,255
4121.246,28.669,29.169,31.011,0.5001,0.1831,255
4121.547,28.623,29.032,31.011,0.4088,0.0917,255
4121.848,28.578,29.009,31.034,0.4313,0.1143,255
4122.149,28.465,29.123,30.964,0.6584,0.3413,255
4122.45,28.601,29.1,31.011,0.4998,0.1827,255
4122.751,28.487,28.986,31.034,0.4992,0.1821,255
4123.052,28.442,29.123,30.964,0.681,0.3639,255
4123.353,28.623,29.078,31.057,0.4543,0.1373,255
4123.654,28.601,29.123,31.197,0.5225,0.2055,255
4123.955,28.442,29.055,30.964,0.6127,0.2956,255
4124.256,28.646,29.078,31.197,0.4316,0.1146,255
4124.557,28.669,29.078,31.011,0.409,0.0919,255
4124.858,28.578,29.055,31.011,0.4769,0.1598,255
4125.159,28.487,29.032,31.057,0.5447,0.2276,255
